20230601093055.9+0i,0+0i,9.6567349+0i,2.0654886+0i,2.0417609+0i,2.1308661+0i,-0.000334598+0i,-0.000783278+0i,0.000303127+0i,-0.000467476+0i,1.2815067+0i,-0.000503318+0i,716.302+0i,893.272+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,0+0i,NaN+0i,20.5505435243155+0i,45.7569666294899+0i,1621.65011745695+0i,203.917465361494+0i,25.630134+0i,716.302+0i,893.272+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,-0.527161696405693+0i
20230601093057.1+0i,1.24600008130074+0i,9.6560654+0i,2.6107224+0i,2.0402134+0i,2.1308551+0i,0.00405464+0i,-0.00402073+0i,0.058027209+0i,0.003568465+0i,1.2816933+0i,0.030328379+0i,1339.715+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,217.781+0i,1.24600008130074+0i,NaN+0i,20.5486853626017+0i,43.7953076443064+0i,1621.51096483531+0i,258.440181444923+0i,25.633866+0i,1339.715+0i,-9.9e+37+0i,217.781+0i,-9.9e+37+0i,217.781+0i,0+7.33455876840574e-19i
20230601093058.7+0i,2.860002592206+0i,9.6557581+0i,1.7601884+0i,2.0402573+0i,2.1308222+0i,0.99211353+0i,0.20226748+0i,0.021781575+0i,0.027770262+0i,1.2817482+0i,0.008401895+0i,9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,2.860002592206+0i,NaN+0i,20.5478324677629+0i,43.8509566455664+0i,1621.09477199422+0i,173.387817117357+0i,25.634964+0i,9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,0+1.30157733363624e-18i
20230601093059.8+0i,3.910006955266+0i,9.6478123+0i,2.925022+0i,2.0410365+0i,2.1308771+0i,0.000208168+0i,0.37842934+0i,0.059077338+0i,0.007501582+0i,1.2817152+0i,-0.014378765+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,441.246+0i,-9.9e+37+0i,3.910006955266+0i,NaN+0i,20.525779321616+0i,44.8386947271529+0i,1621.7892700786+0i,289.869758730732+0i,25.634304+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,441.246+0i,-9.9e+37+0i,0+3.19812123064127e-17i
20230601093100.7+0i,4.80900630354881+0i,9.6161603+0i,1.151004+0i,2.0411024+0i,2.1308551+0i,-0.1053951+0i,0.26980597+0i,0.04413818+0i,-0.051474405+0i,1.2814189+0i,-0.017353866+0i,-9.9e+37+0i,274.58+0i,244.522+0i,363.236+0i,-9.9e+37+0i,4.80900630354881+0i,NaN+0i,20.4379308756649+0i,44.9222316105934+0i,1621.51096483531+0i,112.470118904858+0i,25.628378+0i,-9.9e+37+0i,274.58+0i,-9.9e+37+0i,363.236+0i,-9.9e+37+0i,40.4407772862437+0i
20230601093101.7+0i,5.85600323975086+0i,9.6279693+0i,2.2480016+0i,2.0402793+0i,2.1308222+0i,-0.062123701+0i,0.001282553+0i,0.039690372+0i,0.029339989+0i,1.2814189+0i,0.023970674+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,5.85600323975086+0i,NaN+0i,20.4707061283578+0i,43.8788445277464+0i,1621.09477199422+0i,222.16854312031+0i,25.628378+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,0+9.43436621175391e-17i
20230601093102.6+0i,6.71900399029255+0i,9.6913497+0i,2.5989024+0i,2.0401915+0i,2.1307893+0i,0.082767874+0i,-0.09027033+0i,-0.082956099+0i,-0.00717496+0i,1.2814299+0i,0.007413288+0i,9.9e+37+0i,482.505+0i,1173.372+0i,362.138+0i,-9.9e+37+0i,6.71900399029255+0i,NaN+0i,20.6466150644049+0i,43.7675465252273+0i,1620.67857915313+0i,257.25819583782+0i,25.628598+0i,9.9e+37+0i,482.505+0i,-9.9e+37+0i,362.138+0i,-9.9e+37+0i,-45.9104795097645+0i
20230601093103.5+0i,7.65699930489063+0i,9.7001406+0i,1.757302+0i,2.0401805+0i,2.1307673+0i,0.00848237+0i,0.070805134+0i,-0.03500767+0i,-0.042108634+0i,1.2814079+0i,0.004579254+0i,9.9e+37+0i,-9.9e+37+0i,125.156+0i,850.897+0i,275.861+0i,7.65699930489063+0i,NaN+0i,20.6710137407449+0i,43.7536025841368+0i,1620.40027390985+0i,173.099180632049+0i,25.628158+0i,9.9e+37+0i,-9.9e+37+0i,275.861+0i,850.897+0i,275.861+0i,0-1.47348534831117e-16i
20230601093104.4+0i,8.50400738418102+0i,9.6915143+0i,3.3069274+0i,2.0402134+0i,2.1308003+0i,0.24393761+0i,-0.032084367+0i,-0.057446124+0i,0.047417949+0i,1.2814518+0i,0.012604592+0i,-9.9e+37+0i,371.75+0i,415.577+0i,-9.9e+37+0i,-9.9e+37+0i,8.50400738418102+0i,NaN+0i,20.6470719029682+0i,43.7953076443064+0i,1620.81773177477+0i,328.059833694772+0i,25.629036+0i,-9.9e+37+0i,371.75+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,-56.3866966097846+0i
20230601093105.4+0i,9.5390047878027+0i,9.6493049+0i,2.5022132+0i,2.0401915+0i,2.1308881+0i,0.008758+0i,0.00245182+0i,-0.003371554+0i,0.0448654+0i,1.2814628+0i,0.013214998+0i,-9.9e+37+0i,471.357+0i,-9.9e+37+0i,-9.9e+37+0i,468.192+0i,9.5390047878027+0i,NaN+0i,20.5299219536907+0i,43.7675465252273+0i,1621.92842270024+0i,247.589393573665+0i,25.629256+0i,-9.9e+37+0i,471.357+0i,468.192+0i,-9.9e+37+0i,468.192+0i,8.99403995328961+0i
20230601093106.4+0i,10.5629984289408+0i,9.6503475+0i,2.4840388+0i,2.0401695+0i,2.1308661+0i,0.000164895+0i,-0.44791317+0i,-0.004892218+0i,0.068267669+0i,1.2814628+0i,0.026476887+0i,-9.9e+37+0i,939.243+0i,189.778+0i,-9.9e+37+0i,123.57+0i,10.5629984289408+0i,NaN+0i,20.5328156346508+0i,43.7396586430468+0i,1621.65011745695+0i,245.771975704144+0i,25.629256+0i,-9.9e+37+0i,939.243+0i,123.57+0i,-9.9e+37+0i,123.57+0i,1.21945475343185+0i
