20230531160239.6+0i,0+0i,9.8030267+0i,0.026279902+0i,2.0013411+0i,2.0274637+0i,7.968e-06+0i,7.632e-06+0i,0.001211185+0i,0.000238825+0i,1.3694292+0i,3.6424967+0i,271.648+0i,291.944+0i,292.815+0i,292.329+0i,291.852+0i,0+0i,NaN+0i,20.9565686502285+0i,-5.48042519559476+0i,313.585113456851+0i,-0.000921348781055542+0i,27.388584+0i,271.648+0i,291.944+0i,291.852+0i,292.329+0i,291.852+0i,0+0.000213706030054107i
20230531160240.8+0i,1.26099698245525+0i,9.8029028+0i,0.026092701+0i,2.0008905+0i,2.0297392+0i,-4.714e-06+0i,-7.86e-07+0i,5.398e-05+0i,0.068116048+0i,1.3697671+0i,3.6506072+0i,271.6+0i,291.933+0i,292.818+0i,292.326+0i,291.661+0i,1.26099698245525+0i,NaN+0i,20.956224772355+0i,-6.05161972788756+0i,342.370730779097+0i,-0.0196412208314203+0i,27.395342+0i,271.6+0i,291.933+0i,291.661+0i,292.326+0i,291.661+0i,0-0.000263569926574288i
20230531160242.3+0i,2.78099477291107+0i,9.8040067+0i,0.026538255+0i,1.9926561+0i,2.0308431+0i,1.2906e-05+0i,1.0662e-05+0i,-0.67345266+0i,-0.00098181+0i,1.35866+0i,3.6536599+0i,271.515+0i,291.964+0i,292.795+0i,292.312+0i,291.647+0i,2.78099477291107+0i,NaN+0i,20.9592885882113+0i,-16.4898005017776+0i,356.335328872716+0i,0.0249136366294271+0i,27.1732+0i,271.515+0i,291.964+0i,291.647+0i,292.312+0i,291.647+0i,-0.0179068601211497+0i
20230531160243.6+0i,4.01899851858616+0i,9.8043559+0i,0.025995061+0i,2.0019269+0i,2.0327356+0i,-7.968e-06+0i,-6.622e-06+0i,0.64709195+0i,0.46541272+0i,1.3589867+0i,3.6540429+0i,271.45+0i,291.93+0i,292.79+0i,292.301+0i,291.555+0i,4.01899851858616+0i,NaN+0i,20.9602577742762+0i,-4.73784695099357+0i,380.27590491419+0i,-0.0294051019378117+0i,27.179734+0i,271.45+0i,291.93+0i,291.555+0i,292.301+0i,291.555+0i,0-0.0314459010985737i
20230531160244.5+0i,4.91000153124332+0i,9.8035674+0i,0.026222215+0i,2.002614+0i,2.0304939+0i,3.928e-06+0i,-5.61e-07+0i,0.14912402+0i,0.1260835+0i,1.3594711+0i,3.6599568+0i,271.449+0i,291.952+0i,292.8+0i,292.338+0i,291.529+0i,4.91000153124332+0i,NaN+0i,20.9580693343788+0i,-3.86685768526195+0i,351.917865647527+0i,-0.00668997853714348+0i,27.189422+0i,271.449+0i,291.952+0i,291.529+0i,292.338+0i,291.529+0i,0-0.0066122012054845i
20230531160245.6+0i,6.08599595725536+0i,9.8043109+0i,0.02626273+0i,2.0041798+0i,2.0328369+0i,9.652e-06+0i,1.347e-06+0i,0.001301867+0i,0.001301642+0i,1.359978+0i,3.6491653+0i,271.386+0i,291.946+0i,292.806+0i,292.335+0i,291.68+0i,6.08599595725536+0i,NaN+0i,20.9601328791648+0i,-1.88200105262831+0i,381.55737405712+0i,-0.0026385278711718+0i,27.19956+0i,271.386+0i,291.946+0i,291.68+0i,292.335+0i,291.68+0i,0-0.00941834285480299i
20230531160246.7+0i,7.10099749267101+0i,9.8045474+0i,0.026581576+0i,1.9654067+0i,2.0326342+0i,2.1324e-05+0i,8.529e-06+0i,-0.00172182+0i,-0.00378779+0i,1.3558889+0i,3.6547413+0i,271.372+0i,291.974+0i,292.789+0i,292.333+0i,291.683+0i,7.10099749267101+0i,NaN+0i,20.9607892723616+0i,-51.0319848965169+0i,378.993170747421+0i,0.0292456838786075+0i,27.117778+0i,271.372+0i,291.974+0i,291.683+0i,292.333+0i,291.683+0i,-0.0243891385839268+0i
20230531160247.5+0i,7.94499814510345+0i,9.8044911+0i,0.026061277+0i,2.0019043+0i,2.0311247+0i,-7.856e-06+0i,-2.806e-06+0i,0.50244154+0i,0.28075883+0i,1.3561255+0i,3.6427445+0i,271.268+0i,291.941+0i,292.797+0i,292.327+0i,291.694+0i,7.94499814510345+0i,NaN+0i,20.9606330147+0i,-4.76649541177858+0i,359.897635986734+0i,-0.022783582567258+0i,27.12251+0i,271.268+0i,291.941+0i,291.694+0i,292.327+0i,291.694+0i,0-0.0273817290202333i
20230531160248.3+0i,8.7889987975359+0i,9.7695145+0i,0.026128615+0i,2.0001696+0i,2.0298631+0i,1.347e-06+0i,-1.796e-06+0i,0.28148985+0i,0.26464384+0i,1.3566098+0i,3.6589768+0i,271.251+0i,291.974+0i,292.781+0i,292.33+0i,291.557+0i,8.7889987975359+0i,NaN+0i,20.8635573179145+0i,-6.96545492169662+0i,343.938095308313+0i,-0.0160498645629343+0i,27.132196+0i,271.251+0i,291.974+0i,291.557+0i,292.33+0i,291.557+0i,0+0.436246862597451i
20230531160249.2+0i,9.64399315416813+0i,9.8043109+0i,0.026510758+0i,2.0007666+0i,2.0289281+0i,1.257e-05+0i,1.0213e-05+0i,-0.60498033+0i,-0.45907779+0i,1.3570154+0i,3.6395116+0i,271.248+0i,291.964+0i,292.79+0i,292.33+0i,291.801+0i,9.64399315416813+0i,NaN+0i,20.9601328791648+0i,-6.20867920980345+0i,332.110122468803+0i,0.0221639701117864+0i,27.140308+0i,271.248+0i,291.964+0i,291.801+0i,292.33+0i,291.801+0i,-0.0207215567893047+0i
20230531160250.2+0i,10.6170013546944+0i,9.8042546+0i,0.026255884+0i,2.002997+0i,2.0315303+0i,7.632e-06+0i,7.86e-07+0i,0.001169211+0i,-0.10603561+0i,1.3579053+0i,3.6478136+0i,271.203+0i,291.986+0i,292.787+0i,292.313+0i,291.63+0i,10.6170013546944+0i,NaN+0i,20.9599766215031+0i,-3.38135500912267+0i,365.028572653802+0i,-0.00332311953498143+0i,27.158106+0i,271.203+0i,291.986+0i,291.63+0i,292.313+0i,291.63+0i,0-0.00938094544981682i
