20230601091352.1+0i,11.5549966692924+0i,9.8652256+0i,0.00726904+0i,2.0370746+0i,2.1084773+0i,1.0006451+0i,-9.933e-05+0i,0.021021463+0i,0.007449785+0i,1.2814848+0i,0.016887388+0i,-9.9e+37+0i,859.135+0i,-9.9e+37+0i,-9.9e+37+0i,1118.965+0i,11.5549966692924+0i,NaN+0i,21.1291983957382+0i,39.8164674357804+0i,1338.42646151127+0i,-1.90198439976441+0i,25.629696+0i,-9.9e+37+0i,859.135+0i,1118.965+0i,-9.9e+37+0i,1118.965+0i,0+0.295781987860917i
20230601091353.1+0i,12.4929919838905+0i,9.8646439+0i,1.0405867+0i,2.0370856+0i,2.1084664+0i,0.2845848+0i,-0.00105797+0i,0.061541263+0i,0.069260428+0i,1.2819457+0i,0.039905317+0i,9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,921.865+0i,12.4929919838905+0i,NaN+0i,21.1275839182641+0i,39.8304113768709+0i,1338.28857391347+0i,101.428523357042+0i,25.638914+0i,9.9e+37+0i,-9.9e+37+0i,921.865+0i,-9.9e+37+0i,921.865+0i,0+8.63742544972787e-18i
20230601091354.1+0i,13.5749917477369+0i,9.864183+0i,0.0147283+0i,2.0376782+0i,2.1084664+0i,0.22082087+0i,0.000437534+0i,-0.062030272+0i,0.056597019+0i,1.2820116+0i,0.020709702+0i,-9.9e+37+0i,827.662+0i,906.53+0i,-9.9e+37+0i,-9.9e+37+0i,13.5749917477369+0i,NaN+0i,21.1263047147781+0i,40.5816095123282+0i,1338.28857391347+0i,-1.1560674827052+0i,25.640232+0i,-9.9e+37+0i,827.662+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,0+0.309072243633576i
20230601091355+0i,14.4219998270273+0i,9.8635025+0i,2.6960303+0i,2.0371185+0i,2.1084664+0i,0.20039224+0i,-0.04005876+0i,-0.052276151+0i,0.055209451+0i,1.2819128+0i,0.041901652+0i,-9.9e+37+0i,-9.9e+37+0i,689.197+0i,-9.9e+37+0i,-9.9e+37+0i,14.4219998270273+0i,NaN+0i,21.1244160231482+0i,39.8721164370404+0i,1338.28857391347+0i,266.970867567782+0i,25.638256+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,0+1.82075491578677e-17i
20230601091355.8+0i,15.2819931507111+0i,9.8638098+0i,2.723248+0i,2.0370636+0i,2.1084225+0i,1.0532036+0i,-0.070911291+0i,-0.063236875+0i,-0.045743528+0i,1.2814957+0i,-0.00265089+0i,-9.9e+37+0i,460.047+0i,785.848+0i,545.439+0i,-9.9e+37+0i,15.2819931507111+0i,NaN+0i,21.1252689179871+0i,39.8025234946908+0i,1337.73322845073+0i,269.692604425519+0i,25.629914+0i,-9.9e+37+0i,460.047+0i,-9.9e+37+0i,545.439+0i,-9.9e+37+0i,6.31283107107574+0i
20230601091356.9+0i,16.3169905543327+0i,9.8633928+0i,2.7407424+0i,2.0370636+0i,2.1084773+0i,0.0085824+0i,0.00185446+0i,0.044824641+0i,-0.009498897+0i,1.2814628+0i,0.001019748+0i,-9.9e+37+0i,747.756+0i,-9.9e+37+0i,491.404+0i,643.21+0i,16.3169905543327+0i,NaN+0i,21.1241115566209+0i,39.8025234946908+0i,1338.42646151127+0i,271.442023123057+0i,25.629256+0i,-9.9e+37+0i,747.756+0i,643.21+0i,491.404+0i,643.21+0i,5.87049514700736+0i
20230601091358+0i,17.4769923090935+0i,9.8631294+0i,1.9244719+0i,2.0370636+0i,2.1085103+0i,-0.000236688+0i,-0.000101953+0i,0.029386871+0i,0.053685725+0i,1.2815616+0i,0.01966908+0i,-9.9e+37+0i,779.266+0i,-9.9e+37+0i,-9.9e+37+0i,708.898+0i,17.4769923090935+0i,NaN+0i,21.1233805039019+0i,39.8025234946908+0i,1338.8439193762+0i,189.815967073747+0i,25.631232+0i,-9.9e+37+0i,779.266+0i,708.898+0i,-9.9e+37+0i,708.898+0i,5.07874667687795+0i
20230601091359+0i,18.4149976819754+0i,9.8623721+0i,2.6873711+0i,2.0370527+0i,2.1084444+0i,0.06724595+0i,-0.0002396+0i,0.002672852+0i,0.064201664+0i,1.2817372+0i,0.028367338+0i,-9.9e+37+0i,185.487+0i,329.627+0i,-9.9e+37+0i,340.507+0i,18.4149976819754+0i,NaN+0i,21.1212786579484+0i,39.7887063167009+0i,1338.01026867018+0i,266.104958111858+0i,25.634744+0i,-9.9e+37+0i,185.487+0i,340.507+0i,-9.9e+37+0i,340.507+0i,10.9057528561651+0i
20230601091359.8+0i,19.2579925060272+0i,9.8620868+0i,3.2588683+0i,2.0370746+0i,2.1084773+0i,-0.073800708+0i,-0.45918213+0i,-0.072861062+0i,0.074418847+0i,1.2817043+0i,0.017708803+0i,-9.9e+37+0i,636.679+0i,927.629+0i,-9.9e+37+0i,-9.9e+37+0i,19.2579925060272+0i,NaN+0i,21.1204868229418+0i,39.8164674357804+0i,1338.42646151127+0i,323.253982215049+0i,25.634086+0i,-9.9e+37+0i,636.679+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,8.50740569871644+0i
20230601091400.8+0i,20.1959978789091+0i,9.8618563+0i,1.4862876+0i,2.0370307+0i,2.1084005+0i,0.00605571+0i,-0.69138139+0i,-0.065656967+0i,0.056928014+0i,1.2817043+0i,0.011892012+0i,-9.9e+37+0i,436.108+0i,692.994+0i,-9.9e+37+0i,-9.9e+37+0i,20.1959978789091+0i,NaN+0i,21.1198470824264+0i,39.7608184345208+0i,1337.45492320745+0i,145.998070639013+0i,25.634086+0i,-9.9e+37+0i,436.108+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,6.71922484633367+0i
